,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2015-11-13-stanford.html,"Fri, Nov 13, 2015",9:00p,REG,@,/cbb/schools/stanford/men/2016.html,Stanford,/cbb/conferences/pac-12/men/2016.html,Pac-12,8.06,L,89,93,OT,0,1,L 1,Maples Pavilion,/cbb/schools/green-bay/men/2016.html
1,/cbb/boxscores/2015-11-17-east-tennessee-state.html,"Tue, Nov 17, 2015",6:00a,REG,@,/cbb/schools/east-tennessee-state/men/2016.html,East Tennessee State,/cbb/conferences/southern/men/2016.html,Southern,-1.49,L,90,103,,0,2,L 2,Freedom Hall Civic Center,/cbb/schools/green-bay/men/2016.html
2,/cbb/boxscores/2015-11-19-georgia-tech.html,"Thu, Nov 19, 2015",7:00p,REG,@,/cbb/schools/georgia-tech/men/2016.html,Georgia Tech,/cbb/conferences/acc/men/2016.html,ACC,12.51,L,77,107,,0,3,L 3,McCamish Pavilion,/cbb/schools/green-bay/men/2016.html
3,/cbb/boxscores/2015-11-22-green-bay.html,"Sun, Nov 22, 2015",1:00p,REG,,,Minnesota-Duluth,,,,W,94,74,,1,3,W 1,Resch Center,/cbb/schools/green-bay/men/2016.html
4,/cbb/boxscores/2015-11-24-green-bay.html,"Tue, Nov 24, 2015",8:00p,REG,,/cbb/schools/akron/men/2016.html,Akron,/cbb/conferences/mac/men/2016.html,MAC,5.55,W,66,63,,2,3,W 2,Resch Center,/cbb/schools/green-bay/men/2016.html
5,/cbb/boxscores/2015-11-28-eastern-illinois.html,"Sat, Nov 28, 2015",8:00p,REG,@,/cbb/schools/eastern-illinois/men/2016.html,Eastern Illinois,/cbb/conferences/ovc/men/2016.html,OVC,-8.35,W,81,72,,3,3,W 3,Lantz Arena,/cbb/schools/green-bay/men/2016.html
6,/cbb/boxscores/2015-11-30-southern-illinois-edwardsville.html,"Mon, Nov 30, 2015",8:00p,REG,@,/cbb/schools/southern-illinois-edwardsville/men/2016.html,Southern Illinois-Edwardsville,/cbb/conferences/ovc/men/2016.html,OVC,-10.78,W,87,69,,4,3,W 4,Vadalabene Center,/cbb/schools/green-bay/men/2016.html
7,/cbb/boxscores/2015-12-06-green-bay.html,"Sun, Dec 6, 2015",3:00p,REG,,/cbb/schools/toledo/men/2016.html,Toledo,/cbb/conferences/mac/men/2016.html,MAC,2.96,L,69,71,,4,4,L 1,Resch Center,/cbb/schools/green-bay/men/2016.html
8,/cbb/boxscores/2015-12-15-green-bay.html,"Tue, Dec 15, 2015",8:00p,REG,,/cbb/schools/pacific/men/2016.html,Pacific,/cbb/conferences/wcc/men/2016.html,WCC,-3.57,W,93,88,,5,4,W 1,Resch Center,/cbb/schools/green-bay/men/2016.html
9,/cbb/boxscores/2015-12-20-green-bay.html,"Sun, Dec 20, 2015",1:00p,REG,,,Wisconsin-Superior,,,,W,108,57,,6,4,W 2,Resch Center,/cbb/schools/green-bay/men/2016.html
10,/cbb/boxscores/2015-12-23-wisconsin.html,"Wed, Dec 23, 2015",9:00p,REG,@,/cbb/schools/wisconsin/men/2016.html,Wisconsin,/cbb/conferences/big-ten/men/2016.html,Big Ten,13.40,L,79,84,,6,5,L 1,Kohl Center,/cbb/schools/green-bay/men/2016.html
11,/cbb/boxscores/2015-12-28-morehead-state.html,"Mon, Dec 28, 2015",7:00p,REG,@,/cbb/schools/morehead-state/men/2016.html,Morehead State,/cbb/conferences/ovc/men/2016.html,OVC,1.04,W,78,72,,7,5,W 1,Ellis T. Johnson Arena,/cbb/schools/green-bay/men/2016.html
12,/cbb/boxscores/2016-01-02-green-bay.html,"Sat, Jan 2, 2016",2:00p,REG,,/cbb/schools/northern-kentucky/men/2016.html,Northern Kentucky,/cbb/conferences/horizon/men/2016.html,Horizon,-6.87,W,86,70,,8,5,W 2,Resch Center,/cbb/schools/green-bay/men/2016.html
13,/cbb/boxscores/2016-01-04-green-bay.html,"Mon, Jan 4, 2016",8:00p,REG,,/cbb/schools/wright-state/men/2016.html,Wright State,/cbb/conferences/horizon/men/2016.html,Horizon,0.18,W,76,68,,9,5,W 3,Resch Center,/cbb/schools/green-bay/men/2016.html
14,/cbb/boxscores/2016-01-07-cleveland-state.html,"Thu, Jan 7, 2016",7:30p,REG,@,/cbb/schools/cleveland-state/men/2016.html,Cleveland State,/cbb/conferences/horizon/men/2016.html,Horizon,-9.17,W,87,67,,10,5,W 4,Wolstein Center,/cbb/schools/green-bay/men/2016.html
15,/cbb/boxscores/2016-01-09-youngstown-state.html,"Sat, Jan 9, 2016",7:00p,REG,@,/cbb/schools/youngstown-state/men/2016.html,Youngstown State,/cbb/conferences/horizon/men/2016.html,Horizon,-10.86,L,93,103,,10,6,L 1,Beeghly Center,/cbb/schools/green-bay/men/2016.html
16,/cbb/boxscores/2016-01-14-illinois-chicago.html,"Thu, Jan 14, 2016",8:00p,REG,@,/cbb/schools/illinois-chicago/men/2016.html,Illinois-Chicago,/cbb/conferences/horizon/men/2016.html,Horizon,-14.52,W,78,76,,11,6,W 1,UIC Pavilion,/cbb/schools/green-bay/men/2016.html
17,/cbb/boxscores/2016-01-16-valparaiso.html,"Sat, Jan 16, 2016",8:00p,REG,@,/cbb/schools/valparaiso/men/2016.html,Valparaiso,/cbb/conferences/horizon/men/2016.html,Horizon,10.71,L,70,85,,11,7,L 1,Athletics-Recreation Center,/cbb/schools/green-bay/men/2016.html
18,/cbb/boxscores/2016-01-19-chicago-state.html,"Tue, Jan 19, 2016",8:05p,REG,@,/cbb/schools/chicago-state/men/2016.html,Chicago State,/cbb/conferences/wac/men/2016.html,WAC,-17.52,W,99,66,,12,7,W 1,Emil and Patricia Jones Convocation Center,/cbb/schools/green-bay/men/2016.html
19,/cbb/boxscores/2016-01-23-green-bay.html,"Sat, Jan 23, 2016",2:00p,REG,,/cbb/schools/oakland/men/2016.html,Oakland,/cbb/conferences/horizon/men/2016.html,Horizon,6.30,L,95,111,,12,8,L 1,Resch Center,/cbb/schools/green-bay/men/2016.html
20,/cbb/boxscores/2016-01-25-green-bay.html,"Mon, Jan 25, 2016",8:00p,REG,,/cbb/schools/detroit-mercy/men/2016.html,Detroit Mercy,/cbb/conferences/horizon/men/2016.html,Horizon,-2.44,W,115,108,OT,13,8,W 1,Resch Center,/cbb/schools/green-bay/men/2016.html
21,/cbb/boxscores/2016-01-29-milwaukee.html,"Fri, Jan 29, 2016",8:00p,REG,@,/cbb/schools/milwaukee/men/2016.html,Milwaukee,/cbb/conferences/horizon/men/2016.html,Horizon,2.89,L,94,95,,13,9,L 1,UW-Milwaukee Panther Arena,/cbb/schools/green-bay/men/2016.html
22,/cbb/boxscores/2016-02-04-northern-kentucky.html,"Thu, Feb 4, 2016",7:00p,REG,@,/cbb/schools/northern-kentucky/men/2016.html,Northern Kentucky,/cbb/conferences/horizon/men/2016.html,Horizon,-6.87,W,85,78,,14,9,W 1,BB&T Arena,/cbb/schools/green-bay/men/2016.html
23,/cbb/boxscores/2016-02-06-wright-state.html,"Sat, Feb 6, 2016",7:00p,REG,@,/cbb/schools/wright-state/men/2016.html,Wright State,/cbb/conferences/horizon/men/2016.html,Horizon,0.18,L,60,79,,14,10,L 1,Nutter Center,/cbb/schools/green-bay/men/2016.html
24,/cbb/boxscores/2016-02-11-detroit-mercy.html,"Thu, Feb 11, 2016",7:00p,REG,@,/cbb/schools/detroit-mercy/men/2016.html,Detroit Mercy,/cbb/conferences/horizon/men/2016.html,Horizon,-2.44,W,86,85,,15,10,W 1,Calihan Hall,/cbb/schools/green-bay/men/2016.html
25,/cbb/boxscores/2016-02-13-oakland.html,"Sat, Feb 13, 2016",3:00p,REG,@,/cbb/schools/oakland/men/2016.html,Oakland,/cbb/conferences/horizon/men/2016.html,Horizon,6.30,L,93,111,,15,11,L 1,Athletics Center O''rena,/cbb/schools/green-bay/men/2016.html
26,/cbb/boxscores/2016-02-15-green-bay.html,"Mon, Feb 15, 2016",8:00p,REG,,/cbb/schools/milwaukee/men/2016.html,Milwaukee,/cbb/conferences/horizon/men/2016.html,Horizon,2.89,W,70,68,,16,11,W 1,Resch Center,/cbb/schools/green-bay/men/2016.html
27,/cbb/boxscores/2016-02-20-green-bay.html,"Sat, Feb 20, 2016",2:00p,REG,,/cbb/schools/youngstown-state/men/2016.html,Youngstown State,/cbb/conferences/horizon/men/2016.html,Horizon,-10.86,W,107,90,,17,11,W 2,Resch Center,/cbb/schools/green-bay/men/2016.html
28,/cbb/boxscores/2016-02-22-green-bay.html,"Mon, Feb 22, 2016",8:00p,REG,,/cbb/schools/cleveland-state/men/2016.html,Cleveland State,/cbb/conferences/horizon/men/2016.html,Horizon,-9.17,W,78,61,,18,11,W 3,Resch Center,/cbb/schools/green-bay/men/2016.html
29,/cbb/boxscores/2016-02-26-green-bay.html,"Fri, Feb 26, 2016",8:00p,REG,,/cbb/schools/illinois-chicago/men/2016.html,Illinois-Chicago,/cbb/conferences/horizon/men/2016.html,Horizon,-14.52,W,85,69,,19,11,W 4,Resch Center,/cbb/schools/green-bay/men/2016.html
30,/cbb/boxscores/2016-02-28-green-bay.html,"Sun, Feb 28, 2016",3:00p,REG,,/cbb/schools/valparaiso/men/2016.html,Valparaiso,/cbb/conferences/horizon/men/2016.html,Horizon,10.71,L,68,70,,19,12,L 1,Resch Center,/cbb/schools/green-bay/men/2016.html
31,/cbb/boxscores/2016-03-05-green-bay.html,"Sat, Mar 5, 2016",12:00p,CTOURN,N,/cbb/schools/cleveland-state/men/2016.html,Cleveland State,/cbb/conferences/horizon/men/2016.html,Horizon,-9.17,W,65,53,,20,12,W 1,,/cbb/schools/green-bay/men/2016.html
32,/cbb/boxscores/2016-03-06-green-bay.html,"Sun, Mar 6, 2016",1:00p,CTOURN,N,/cbb/schools/milwaukee/men/2016.html,Milwaukee,/cbb/conferences/horizon/men/2016.html,Horizon,2.89,W,70,61,,21,12,W 2,,/cbb/schools/green-bay/men/2016.html
33,/cbb/boxscores/2016-03-07-valparaiso.html,"Mon, Mar 7, 2016",7:00p,CTOURN,N,/cbb/schools/valparaiso/men/2016.html,Valparaiso,/cbb/conferences/horizon/men/2016.html,Horizon,10.71,W,99,92,OT,22,12,W 3,,/cbb/schools/green-bay/men/2016.html
34,/cbb/boxscores/2016-03-08-wright-state.html,"Tue, Mar 8, 2016",7:00p,CTOURN,N,/cbb/schools/wright-state/men/2016.html,Wright State,/cbb/conferences/horizon/men/2016.html,Horizon,0.18,W,78,69,,23,12,W 4,,/cbb/schools/green-bay/men/2016.html
35,/cbb/boxscores/2016-03-18-texas-am.html,"Fri, Mar 18, 2016",7:20p,NCAA,N,/cbb/schools/texas-am/men/2016.html,Texas A&M,/cbb/conferences/sec/men/2016.html,SEC,18.45,L,65,92,,23,13,L 1,,/cbb/schools/green-bay/men/2016.html
